Date,px_last
12/21/2021,4649.23
12/20/2021,4568.02
12/17/2021,4620.64
12/16/2021,4668.67
12/15/2021,4709.85
12/14/2021,4634.09
12/13/2021,4668.97
12/10/2021,4712.02
12/9/2021,4667.45
12/8/2021,4701.21
12/7/2021,4686.75
12/6/2021,4591.67
12/3/2021,4538.43
12/2/2021,4577.1
12/1/2021,4513.04
11/30/2021,4567
11/29/2021,4655.27
11/26/2021,4594.62
11/24/2021,4701.46
11/23/2021,4690.7
11/22/2021,4682.94
11/19/2021,4697.96
11/18/2021,4704.54
11/17/2021,4688.67
11/16/2021,4700.9
11/15/2021,4682.8
11/12/2021,4682.85
11/11/2021,4649.27
11/10/2021,4646.71
11/9/2021,4685.25
11/8/2021,4701.7
11/5/2021,4697.53
11/4/2021,4680.06
11/3/2021,4660.57
11/2/2021,4630.65
11/1/2021,4613.67
10/29/2021,4605.38
10/28/2021,4596.42
10/27/2021,4551.68
10/26/2021,4574.79
10/25/2021,4566.48
10/22/2021,4544.9
10/21/2021,4549.78
10/20/2021,4536.19
10/19/2021,4519.63
10/18/2021,4486.46
10/15/2021,4471.37
10/14/2021,4438.26
10/13/2021,4363.8
10/12/2021,4350.65
10/11/2021,4361.19
10/8/2021,4391.34
10/7/2021,4399.76
10/6/2021,4363.55
10/5/2021,4345.72
10/4/2021,4300.46
10/1/2021,4357.04
9/30/2021,4307.54
9/29/2021,4359.46
9/28/2021,4352.63
9/27/2021,4443.11
9/24/2021,4455.48
9/23/2021,4448.98
9/22/2021,4395.64
9/21/2021,4354.19
9/20/2021,4357.73
9/17/2021,4432.99
9/16/2021,4473.75
9/15/2021,4480.7
9/14/2021,4443.05
9/13/2021,4468.73
9/10/2021,4458.58
9/9/2021,4493.28
9/8/2021,4514.07
9/7/2021,4520.03
9/3/2021,4535.43
9/2/2021,4536.95
9/1/2021,4524.09
8/31/2021,4522.68
8/30/2021,4528.79
8/27/2021,4509.37
8/26/2021,4470
8/25/2021,4496.19
8/24/2021,4486.23
8/23/2021,4479.53
8/20/2021,4441.67
8/19/2021,4405.8
8/18/2021,4400.27
8/17/2021,4448.08
8/16/2021,4479.71
8/13/2021,4468
8/12/2021,4460.83
8/11/2021,4447.7
8/10/2021,4436.75
8/9/2021,4432.35
8/6/2021,4436.52
8/5/2021,4429.1
8/4/2021,4402.66
8/3/2021,4423.15
8/2/2021,4387.16
7/30/2021,4395.26
7/29/2021,4419.15
7/28/2021,4400.64
7/27/2021,4401.46
7/26/2021,4422.3
7/23/2021,4411.79
7/22/2021,4367.48
7/21/2021,4358.69
7/20/2021,4323.06
7/19/2021,4258.49
7/16/2021,4327.16
7/15/2021,4360.03
7/14/2021,4374.3
7/13/2021,4369.21
7/12/2021,4384.63
7/9/2021,4369.55
7/8/2021,4320.82
7/7/2021,4358.13
7/6/2021,4343.54
7/2/2021,4352.34
7/1/2021,4319.94
6/30/2021,4297.5
6/29/2021,4291.8
6/28/2021,4290.61
6/25/2021,4280.7
6/24/2021,4266.49
6/23/2021,4241.84
6/22/2021,4246.44
6/21/2021,4224.79
6/18/2021,4166.45
6/17/2021,4221.86
6/16/2021,4223.7
6/15/2021,4246.59
6/14/2021,4255.15
6/11/2021,4247.44
6/10/2021,4239.18
6/9/2021,4219.55
6/8/2021,4227.26
6/7/2021,4226.52
6/4/2021,4229.89
6/3/2021,4192.85
6/2/2021,4208.12
6/1/2021,4202.04
5/28/2021,4204.11
5/27/2021,4200.88
5/26/2021,4195.99
5/25/2021,4188.13
5/24/2021,4197.05
5/21/2021,4155.86
5/20/2021,4159.12
5/19/2021,4115.68
5/18/2021,4127.83
5/17/2021,4163.29
5/14/2021,4173.85
5/13/2021,4112.5
5/12/2021,4063.04
5/11/2021,4152.1
5/10/2021,4188.43
5/7/2021,4232.6
5/6/2021,4201.62
5/5/2021,4167.59
5/4/2021,4164.66
5/3/2021,4192.66
4/30/2021,4181.17
4/29/2021,4211.47
4/28/2021,4183.18
4/27/2021,4186.72
4/26/2021,4187.62
4/23/2021,4180.17
4/22/2021,4134.98
4/21/2021,4173.42
4/20/2021,4134.94
4/19/2021,4163.26
4/16/2021,4185.47
4/15/2021,4170.42
4/14/2021,4124.66
4/13/2021,4141.59
4/12/2021,4127.99
4/9/2021,4128.8
4/8/2021,4097.17
4/7/2021,4079.95
4/6/2021,4073.94
4/5/2021,4077.91
4/1/2021,4019.87
3/31/2021,3972.89
3/30/2021,3958.55
3/29/2021,3971.09
3/26/2021,3974.54
3/25/2021,3909.52
3/24/2021,3889.14
3/23/2021,3910.52
3/22/2021,3940.59
3/19/2021,3913.1
3/18/2021,3915.46
3/17/2021,3974.12
3/16/2021,3962.71
3/15/2021,3968.94
3/12/2021,3943.34
3/11/2021,3939.34
3/10/2021,3898.81
3/9/2021,3875.44
3/8/2021,3821.35
3/5/2021,3841.94
3/4/2021,3768.47
3/3/2021,3819.72
3/2/2021,3870.29
3/1/2021,3901.82
2/26/2021,3811.15
2/25/2021,3829.34
2/24/2021,3925.43
2/23/2021,3881.37
2/22/2021,3876.5
2/19/2021,3906.71
2/18/2021,3913.97
2/17/2021,3931.33
2/16/2021,3932.59
2/12/2021,3934.83
2/11/2021,3916.38
2/10/2021,3909.88
2/9/2021,3911.23
2/8/2021,3915.59
2/5/2021,3886.83
2/4/2021,3871.74
2/3/2021,3830.17
2/2/2021,3826.31
2/1/2021,3773.86
1/29/2021,3714.24
1/28/2021,3787.38
1/27/2021,3750.77
1/26/2021,3849.62
1/25/2021,3855.36
1/22/2021,3841.47
1/21/2021,3853.07
1/20/2021,3851.85
1/19/2021,3798.91
1/15/2021,3768.25
1/14/2021,3795.54
1/13/2021,3809.84
1/12/2021,3801.19
1/11/2021,3799.61
1/8/2021,3824.68
1/7/2021,3803.79
1/6/2021,3748.14
1/5/2021,3726.86
1/4/2021,3700.65
12/31/2020,3756.07
12/30/2020,3732.04
12/29/2020,3727.04
12/28/2020,3735.36
12/24/2020,3703.06
12/23/2020,3690.01
12/22/2020,3687.26
12/21/2020,3694.92
12/18/2020,3709.41
12/17/2020,3722.48
12/16/2020,3701.17
12/15/2020,3694.62
12/14/2020,3647.49
12/11/2020,3663.46
12/10/2020,3668.1
12/9/2020,3672.82
12/8/2020,3702.25
12/7/2020,3691.96
12/4/2020,3699.12
12/3/2020,3666.72
12/2/2020,3669.01
12/1/2020,3662.45
11/30/2020,3621.63
11/27/2020,3638.35
11/25/2020,3629.65
11/24/2020,3635.41
11/23/2020,3577.59
11/20/2020,3557.54
11/19/2020,3581.87
11/18/2020,3567.79
11/17/2020,3609.53
11/16/2020,3626.91
11/13/2020,3585.15
11/12/2020,3537.01
11/11/2020,3572.66
11/10/2020,3545.53
11/9/2020,3550.5
11/6/2020,3509.44
11/5/2020,3510.45
11/4/2020,3443.44
11/3/2020,3369.16
11/2/2020,3310.24
10/30/2020,3269.96
10/29/2020,3310.11
10/28/2020,3271.03
10/27/2020,3390.68
10/26/2020,3400.97
10/23/2020,3465.39
10/22/2020,3453.49
10/21/2020,3435.56
10/20/2020,3443.12
10/19/2020,3426.92
10/16/2020,3483.81
10/15/2020,3483.34
10/14/2020,3488.67
10/13/2020,3511.93
10/12/2020,3534.22
10/9/2020,3477.13
10/8/2020,3446.83
10/7/2020,3419.45
10/6/2020,3360.95
10/5/2020,3408.63
10/2/2020,3348.44
10/1/2020,3380.8
9/30/2020,3363
9/29/2020,3335.47
9/28/2020,3351.6
9/25/2020,3298.46
9/24/2020,3246.59
9/23/2020,3236.92
9/22/2020,3315.57
9/21/2020,3281.06
9/18/2020,3319.47
9/17/2020,3357.01
9/16/2020,3385.49
9/15/2020,3401.2
9/14/2020,3383.54
9/11/2020,3340.97
9/10/2020,3339.19
9/9/2020,3398.96
9/8/2020,3331.84
9/4/2020,3426.96
9/3/2020,3455.06
9/2/2020,3580.84
9/1/2020,3526.65
8/31/2020,3500.31
8/28/2020,3508.01
8/27/2020,3484.55
8/26/2020,3478.73
8/25/2020,3443.62
8/24/2020,3431.28
8/21/2020,3397.16
8/20/2020,3385.51
8/19/2020,3374.85
8/18/2020,3389.78
8/17/2020,3381.99
8/14/2020,3372.85
8/13/2020,3373.43
8/12/2020,3380.35
8/11/2020,3333.69
8/10/2020,3360.47
8/7/2020,3351.28
8/6/2020,3349.16
8/5/2020,3327.77
8/4/2020,3306.51
8/3/2020,3294.61
7/31/2020,3271.12
7/30/2020,3246.22
7/29/2020,3258.44
7/28/2020,3218.44
7/27/2020,3239.41
7/24/2020,3215.63
7/23/2020,3235.66
7/22/2020,3276.02
7/21/2020,3257.3
7/20/2020,3251.84
7/17/2020,3224.73
7/16/2020,3215.57
7/15/2020,3226.56
7/14/2020,3197.52
7/13/2020,3155.22
7/10/2020,3185.04
7/9/2020,3152.05
7/8/2020,3169.94
7/7/2020,3145.32
7/6/2020,3179.72
7/2/2020,3130.01
7/1/2020,3115.86
6/30/2020,3100.29
6/29/2020,3053.24
6/26/2020,3009.05
6/25/2020,3083.76
6/24/2020,3050.33
6/23/2020,3131.29
6/22/2020,3117.86
6/19/2020,3097.74
6/18/2020,3115.34
6/17/2020,3113.49
6/16/2020,3124.74
6/15/2020,3066.59
6/12/2020,3041.31
6/11/2020,3002.1
6/10/2020,3190.14
6/9/2020,3207.18
6/8/2020,3232.39
6/5/2020,3193.93
6/4/2020,3112.35
6/3/2020,3122.87
6/2/2020,3080.82
6/1/2020,3055.73
5/29/2020,3044.31
5/28/2020,3029.73
5/27/2020,3036.13
5/26/2020,2991.77
5/22/2020,2955.45
5/21/2020,2948.51
5/20/2020,2971.61
5/19/2020,2922.94
5/18/2020,2953.91
5/15/2020,2863.7
5/14/2020,2852.5
5/13/2020,2820
5/12/2020,2870.12
5/11/2020,2930.32
5/8/2020,2929.8
5/7/2020,2881.19
5/6/2020,2848.42
5/5/2020,2868.44
5/4/2020,2842.74
5/1/2020,2830.71
4/30/2020,2912.43
4/29/2020,2939.51
4/28/2020,2863.39
4/27/2020,2878.48
4/24/2020,2836.74
4/23/2020,2797.8
4/22/2020,2799.31
4/21/2020,2736.56
4/20/2020,2823.16
4/17/2020,2874.56
4/16/2020,2799.55
4/15/2020,2783.36
4/14/2020,2846.06
4/13/2020,2761.63
4/9/2020,2789.82
4/8/2020,2749.98
4/7/2020,2659.41
4/6/2020,2663.68
4/3/2020,2488.65
4/2/2020,2526.9
4/1/2020,2470.5
3/31/2020,2584.59
3/30/2020,2626.65
3/27/2020,2541.47
3/26/2020,2630.07
3/25/2020,2475.56
3/24/2020,2447.33
3/23/2020,2237.4
3/20/2020,2304.92
3/19/2020,2409.39
3/18/2020,2398.1
3/17/2020,2529.19
3/16/2020,2386.13
3/13/2020,2711.02
3/12/2020,2480.64
3/11/2020,2741.38
3/10/2020,2882.23
3/9/2020,2746.56
3/6/2020,2972.37
3/5/2020,3023.94
3/4/2020,3130.12
3/3/2020,3003.37
3/2/2020,3090.23
2/28/2020,2954.22
2/27/2020,2978.76
2/26/2020,3116.39
2/25/2020,3128.21
2/24/2020,3225.89
2/21/2020,3337.75
2/20/2020,3373.23
2/19/2020,3386.15
2/18/2020,3370.29
2/14/2020,3380.16
2/13/2020,3373.94
2/12/2020,3379.45
2/11/2020,3357.75
2/10/2020,3352.09
2/7/2020,3327.71
2/6/2020,3345.78
2/5/2020,3334.69
2/4/2020,3297.59
2/3/2020,3248.92
1/31/2020,3225.52
1/30/2020,3283.66
1/29/2020,3273.4
1/28/2020,3276.24
1/27/2020,3243.63
1/24/2020,3295.47
1/23/2020,3325.54
1/22/2020,3321.75
1/21/2020,3320.79
1/17/2020,3329.62
1/16/2020,3316.81
1/15/2020,3289.29
1/14/2020,3283.15
1/13/2020,3288.13
1/10/2020,3265.35
1/9/2020,3274.7
1/8/2020,3253.05
1/7/2020,3237.18
1/6/2020,3246.28
1/3/2020,3234.85
1/2/2020,3257.85
12/31/2019,3230.78
12/30/2019,3221.29
12/27/2019,3240.02
12/26/2019,3239.91
12/24/2019,3223.38
12/23/2019,3224.01
12/20/2019,3221.22
12/19/2019,3205.37
